ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"528.44245"	"8.29e+04"	C+	"3.63434980"	"5.97991659"	13	11		
"528.51269"	"6.4e+05"	E	"4.43461275"	"6.77986785"	9	9		
"528.85264"	"8.22e+05"	B	"3.69459719"	"6.03834476"	9	9		
"529.30319"	"1.0e+05"	E	"4.38646275"	"6.72821528"	11	11		
"529.39583"	"6.9e+05"	E	"4.14264893"	"6.48399171"	7	5		
"529.45471"	"7.3e+04"	E	"3.63977237"	"5.98085478"	5	5		
"529.53124"	"7.3e+05"	E	"4.41527878"	"6.75602283"	7	7		
"529.87756"	"4.58e+05"	C+	"3.64164057"	"5.98085478"	7	5		
"530.23001"	"9.04e+06"	B	"3.28302483"	"5.62068415"	3	5		
"530.73605"	"3.48e+04"	A	"1.60789577"	"3.94332623"	5	7		
"532.00370"	"1.5e+05"	D	"3.64164057"	"5.97150625"	7	5		
"532.11074"	"2.13e+06"	C	"4.43461275"	"6.76400977"	9	9		
"532.20405"	"5.29e+04"	C	"2.27860466"	"4.60759327"	5	7		
"532.41785"	"2.06e+07"	B	"3.21118938"	"5.53924278"	9	9		
"532.61422"	"2.22e+05"	B	"3.57321890"	"5.90041395"	11	9		
"532.80381"	"1.15e+06"	A	"0.91460217"	"3.24096914"	9	7		
"532.85311"	"4.74e+05"	B	"1.55735733"	"3.88350907"	7	7		
"532.99894"	"1.29e+06"	C+	"4.07581091"	"6.40132623"	9	11		
"533.26605"	"6.8e+05"	E	"4.18636440"	"6.51071489"	5	3		
"533.28994"	"4.36e+04"	B	"1.55735733"	"3.88160368"	7	9		
"533.99291"	"6.36e+06"	C+	"3.26570610"	"5.58689276"	5	7		
"534.10235"	"5.21e+05"	B	"1.60789577"	"3.92860683"	5	5		
"534.97371"	"1.4e+06"	D	"4.38646275"	"6.70339390"	11	9		
"536.16249"	"1.8e+06"	E	"4.41527878"	"6.72707289"	7	5		
"536.48704"	"5.59e+07"	C+	"4.44562726"	"6.75602283"	5	7		
"536.53985"	"2.46e+06"	B	"3.57321890"	"5.88338708"	11	9		
"536.74654"	"7.13e+07"	B	"4.41527878"	"6.72455738"	7	9		
"536.99607"	"7.22e+07"	B+	"4.37135106"	"6.67955657"	9	11		
"537.14891"	"1.05e+06"	A	"0.95815732"	"3.26570610"	7	5		
"537.37083"	"3.7e+06"	D	"4.47327202"	"6.77986785"	7	9		
"537.68300"	"4.0e+05"	E	"4.29441489"	"6.59967157"	5	3		
"537.95734"	"6.41e+05"	B	"3.69459719"	"5.99867825"	9	11		
"538.33680"	"7.81e+07"	B+	"4.31247059"	"6.61492758"	11	13		
"538.55785"	"3.1e+04"	E	"3.69459719"	"5.99610917"	9	9		
"538.63329"	"8.4e+05"	E	"4.15435379"	"6.45554341"	7	5		
"538.74830"	"3.03e+05"	C+	"4.14264893"	"6.44334733"	7	7		
"539.31670"	"4.91e+06"	B	"3.24096914"	"5.53924278"	7	9		
"539.52169"	"5.4e+05"	E	"4.44562726"	"6.74302768"	5	3		
"539.71274"	"2.58e+05"	A	"0.91460217"	"3.21118938"	9	9		
"539.82786"	"9.0e+06"	E	"4.44562726"	"6.74172473"	5	5		
"540.12660"	"2.2e+05"	E	"4.32010008"	"6.61492758"	13	13		
"540.38218"	"1.92e+06"	C+	"4.07581091"	"6.36955305"	9	11		
"540.41508"	"6.92e+07"	B+	"4.43461275"	"6.72821528"	9	11		
"540.53497"	"8.45e+05"	C	"4.38646275"	"6.67955657"	11	11		
"540.57743"	"1.09e+06"	A	"0.99011115"	"3.28302483"	5	3		
"540.91327"	"1.1e+06"	D	"4.37135106"	"6.66284114"	9	11		
"541.09092"	"6.33e+07"	B+	"4.47327202"	"6.76400977"	7	9		
"541.27833"	"4.86e+05"	B	"4.43461275"	"6.72455738"	9	9		
"541.51984"	"7.67e+07"	B+	"4.38646275"	"6.67538611"	11	13		
"541.70364"	"1.0e+06"	E	"4.41527878"	"6.70342551"	7	5		
"542.95033"	"7.27e+06"	C+	"4.19086081"	"6.47375371"	5	3		
"542.96962"	"4.27e+05"	A	"0.95815732"	"3.24096914"	7	7		
"543.29476"	"4.3e+06"	D	"4.44562726"	"6.72707289"	5	5		
"543.45233"	"1.70e+06"	A	"1.01105568"	"3.29183986"	3	1		
"543.62946"	"7.7e+05"	E	"4.38646275"	"6.66650376"	11	9		
"543.65876"	"3.50e+04"	C	"2.27860466"	"4.55852281"	5	7		
