ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"389.1614"	"1.1e+06"	E	"4.232682"	"7.417712"	14	12		
"389.4730"	"2.5e+06"	E	"3.372561"	"6.555043"	6	8		
"389.8344"	"1.7e+07"	E	"4.193826"	"7.373358"	6	8		
"389.9313"	"2.4e+07"	E	"4.272913"	"7.451655"	4	6		
"391.1133"	"1.3e+07"	E	"3.843653"	"7.012788"	6	6		
"391.2728"	"4.2e+06"	E	"4.320262"	"7.488105"	2	4		
"391.4148"	"1.2e+06"	E	"3.859002"	"7.025696"	2	2		
"391.9303"	"8.8e+06"	E	"5.111906"	"8.274435"	8	8		
"392.0635"	"2.7e+06"	E	"4.685354"	"7.846809"	6	8		
"392.3317"	"1.3e+07"	E	"4.246523"	"7.405817"	12	10		
"392.4047"	"9.4e+07"	E	"3.859002"	"7.017708"	2	4		
"392.6475"	"5.4e+07"	D	"3.843653"	"7.000406"	6	8		
"392.8292"	"3.9e+06"	E	"4.712478"	"7.867771"	12	12		
"392.9642"	"9.2e+06"	E	"4.258101"	"7.412310"	10	8		
"393.1512"	"8.2e+06"	E	"4.726300"	"7.879009"	10	10		
"393.5525"	"2.4e+06"	E	"4.246523"	"7.396017"	12	12		
"393.6757"	"1.2e+07"	E	"4.267942"	"7.416450"	8	6		
"393.7748"	"3.0e+06"	E	"4.258101"	"7.405817"	10	10		
"394.2870"	"1.8e+06"	E	"3.843653"	"6.987280"	6	8		
"395.1963"	"3.1e+07"	E	"4.320262"	"7.456655"	2	2		
"395.2834"	"4.1e+07"	E	"4.193826"	"7.329529"	6	6		
"395.4565"	"4.6e+06"	E	"4.712478"	"7.846809"	12	12		
"397.5887"	"1.8e+07"	E	"4.320262"	"7.437784"	2	4		
"397.7078"	"1.6e+07"	E	"4.272913"	"7.389502"	4	6		
"397.8778"	"7.4e+05"	E	"4.258101"	"7.373358"	10	8		
"398.0143"	"1.3e+07"	E	"5.087255"	"8.201443"	10	8		
"398.2157"	"3.5e+07"	E	"4.272913"	"7.385527"	4	2		
"398.2583"	"2.3e+07"	E	"3.134449"	"6.246729"	6	4		
"398.2791"	"5.5e+07"	E	"5.133433"	"8.245551"	6	4		
"398.4177"	"2.3e+06"	E	"3.134449"	"6.245485"	6	6		
"398.5241"	"9.7e+06"	E	"3.135280"	"6.245485"	8	6		
"398.6819"	"1.1e+07"	E	"3.132553"	"6.241526"	12	10		
"398.7091"	"1.0e+07"	E	"3.134994"	"6.243755"	10	8		
"398.7459"	"1.8e+06"	E	"3.135280"	"6.243755"	8	8		
"398.9952"	"1.5e+06"	E	"3.134994"	"6.241526"	10	10		
"399.060"	"4.3e+05"	E	"3.763442"	"6.86947"	8	6		
"399.1611"	"2.1e+07"	E	"3.770575"	"6.875816"	2	2		
"399.3839"	"4.4e+06"	E	"3.772307"	"6.875816"	4	2		
"399.6083"	"4.1e+06"	E	"4.272913"	"7.374679"	4	6		
"399.9575"	"3.9e+05"	E	"4.258101"	"7.357159"	10	8		
"400.105"	"2.4e+06"	E	"3.771551"	"6.86947"	6	6		
"400.202"	"3.6e+06"	E	"3.772307"	"6.86947"	4	6		
"400.3260"	"1.1e+07"	E	"4.639518"	"7.735724"	12	10		
"400.7036"	"2.2e+06"	E	"3.771551"	"6.864839"	6	4		
"400.8016"	"4.6e+06"	E	"3.772307"	"6.864839"	4	4		
"401.1567"	"8.2e+06"	E	"4.272913"	"7.362707"	4	4		
"401.1900"	"2.3e+07"	E	"5.111906"	"8.201443"	8	8		
"401.6675"	"2.4e+06"	E	"4.331847"	"7.417712"	10	12		
